Movie,Genre,Age_raiting,Director,Producer,Sequel,Distributor,Screens,Release_date
EL FARO,FICCION,Siete,OTRO,OTRO,NO,CINE COLOMBIA,1--10,agosto
POR UN PUÑADO DE PELOS,FICCION,Todos ,OTRO,OTRO,NO,ROYAL FILMS,11--20,septiembre
SOUVENIR,FICCION,Siete,OTRO,OTRO,NO,EMPRESA PRODUCTORA,11--20,junio
DIAS DE VINILO,FICCION,Todos ,OTRO,RHAYUELA,NO,CINECOLOR FILMS,1--10,julio
MEMORIAS DEL CALAVERO,FICCION,Quince,RUBEN MENDOZA,DIAFRAGMA FILMS ,NO,VELVET JELLYFISH,1--10,noviembre
DESHORA,FICCION,Quince,OTRO,ANTORCHA FILMS,NO,VELVET JELLYFISH,1--10,noviembre
EL PASEO 3,FICCION,Todos ,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,SI,CINE COLOMBIA,191--200,diciembre
EL CONTROL,FICCION,Todos ,FELIPE DOROTHEE,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,31--40,mayo
ROA,FICCION,Doce,ANDI BAIZ,DYNAMO,NO,CINECOLOR FILMS,51--60,abril
DE ROLLING POR COLOMBIA,FICCION,Todos ,HAROLD TROMPETERO,TROMPETERO PRODUCCIONES,NO,CINECOLOR FILMS,61--70,julio
CRIMEN CON VISTA AL MAR,FICCION,Todos ,GERARDO HERRERO,FIVE 7 MEDIA SAS,NO,CINE COLOMBIA,71--80,agosto
SECRETOS,FICCION,Todos ,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,UIP,51--60,octubre
AMORES PELIGROSOS,FICCION,Quince,OTRO,FUNDACION IMAGEN LATINA,NO,CINE COLOMBIA,41--50,octubre
LO AZUL DEL CIELO,FICCION,Doce,OTRO,OTRO,NO,CINEPLEX,51--60,enero
LA JUSTA MEDIDA,FICCION,Quince,COLBERT GARCIA,OCHO Y MEDIOS COMUNICACIONES,NO,CINE COLOMBIA,31--40,noviembre
EDIFICIO ROYAL,FICCION,Doce,OTRO,CIUDAD LUNAR PRODUCCIONES,NO,BABILLA FILMS,31--40,marzo
CAZANDO LUCIERNAGAS,FICCION,Siete,OTRO,KYMERA PRODUCCIONES,NO,CINE COLOMBIA,21--30,octubre
ESTRELLA DEL SUR,FICCION,Todos ,OTRO,OTRO,NO,CINE COLOMBIA,11--20,mayo
LA ETERNA NOCHE DE LAS DOCE LUNAS,DOCUMENTAL,Todos ,OTRO,OTRO,NO,CINEPLEX,1--10,agosto
DON CA,DOCUMENTAL,Todos ,PATRICIA AYALA RUIZ,PATHOS AUDIOVISUAL,NO,CINE COLOMBIA,11--20,septiembre
PESCADOR,FICCION,Doce,OTRO,OTRO,NO,CINE COLOMBIA,11--20,febrero
CRONICA DEL FIN DEL MUNDO,FICCION,Todos ,OTRO,OTRO,NO,PROCINAL,1--10,noviembre
MI GENTE LINDA MI GENTE BELLA,FICCION,Doce,HAROLD TROMPETERO,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,151--160,junio
LA CARA OCULTA,FICCION,Doce,ANDI BAIZ,BUNKER PRODUCCIONES,NO,CINECOLOR FILMS,71--80,enero
EL PASEO 2,FICCION,Todos ,HAROLD TROMPETERO,DAGO GARCIA PRODUCCIONES,SI,CINE COLOMBIA,111--120,diciembre
SANANDRESITO,FICCION,Doce,ALESSANDRO ANGULO, LABERINTO CINE Y TELEVISION,NO,CINE COLOMBIA,71--80,julio
LA LECTORA,FICCION,Doce,RICARDO GABRIELLI,FOX TELECOLOMBIA,NO,CINE COLOMBIA,41--50,agosto
180 SEGUNDOS,FICCION,Doce,ALEXANDER GIRALDO,64 A FILMS,NO,BABILLA FILMS,61--70,abril
SOFIA Y EL TERCO,FICCION,Doce,ANDRES BURGOS,OTRO,NO,CINECOLOR FILMS,31--40,agosto
POR QUE DEJARON A NACHO,FICCION,Doce,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,UIP,31--40,septiembre
CHOCO,FICCION,Doce,JHONNY HENDRIX HINESTROZA,ANTORCHA FILMS,NO,CINE COLOMBIA,11--20,agosto
CARRUSEL,FICCION,Doce,GUILLERMO IVAN,OTRO,NO,UIP,61--70,agosto
LA SIRGA,FICCION,Doce,WILLIAM VEGA,CONTRAVIA FILMS,NO,CINEPLEX,21--30,agosto
LA CAPTURA,FICCION,Doce,DAGO GARCIA,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,21--30,abril
SIN PALABRAS,FICCION,Doce,OTRO,PROYECCION FILMS ,NO,CINE COLOMBIA,11--20,noviembre
